"DATE","TMAX","TMIN","Time"
20120117,18,-13,2012-01-17
20120118,4,-27,2012-01-18
20120119,17,-26,2012-01-19
20120120,-5,-41,2012-01-20
20120121,-28,-107,2012-01-21
20120122,-28,-122,2012-01-22
20120123,-5,-133,2012-01-23
20120124,-2,-92,2012-01-24
20120125,26,-125,2012-01-25
20120126,39,-103,2012-01-26
20120127,13,-98,2012-01-27
20120128,-6,-67,2012-01-28
20120129,2,-86,2012-01-29
20120130,-19,-82,2012-01-30
20120131,3,-73,2012-01-31
20120201,-27,-119,2012-02-01
20120202,-9,-107,2012-02-02
20120203,32,-117,2012-02-03
20120204,16,-78,2012-02-04
20120205,40,-50,2012-02-05
20120206,2,-65,2012-02-06
20120207,-13,-108,2012-02-07
20120208,30,-89,2012-02-08
20120209,25,-68,2012-02-09
20120210,40,-85,2012-02-10
20120211,60,-71,2012-02-11
20120212,17,-46,2012-02-12
20120213,48,-57,2012-02-13
20120214,47,-32,2012-02-14
20120215,35,-72,2012-02-15
20120216,30,-30,2012-02-16
20120217,5,-63,2012-02-17
20120218,34,-72,2012-02-18
20120219,77,-87,2012-02-19
20120220,86,-67,2012-02-20
20120221,50,-45,2012-02-21
20120222,58,-20,2012-02-22
20120223,67,-26,2012-02-23
20120224,48,-35,2012-02-24
20120225,45,-36,2012-02-25
20120226,65,-35,2012-02-26
20120227,67,-51,2012-02-27
20120228,85,-26,2012-02-28
20120229,96,-25,2012-02-29
20120301,53,-2,2012-03-01
20120302,25,3,2012-03-02
20120303,32,-7,2012-03-03
20120304,58,-23,2012-03-04
20120305,50,-22,2012-03-05
20120306,107,-5,2012-03-06
20120307,111,0,2012-03-07
20120308,60,-31,2012-03-08
20120309,69,-44,2012-03-09
20120310,66,-17,2012-03-10
20120311,52,-42,2012-03-11
20120312,93,-54,2012-03-12
20120313,146,-33,2012-03-13
20120314,128,25,2012-03-14
20120315,104,-29,2012-03-15
20120316,135,36,2012-03-16
20120317,85,20,2012-03-17
20120318,55,-12,2012-03-18
20120319,65,3,2012-03-19
20120320,110,-8,2012-03-20
20120321,136,8,2012-03-21
20120322,114,53,2012-03-22
20120323,129,29,2012-03-23
20120324,150,21,2012-03-24
20120325,152,14,2012-03-25
20120326,189,27,2012-03-26
20120327,239,51,2012-03-27
20120328,204,101,2012-03-28
20120329,236,94,2012-03-29
20120330,173,73,2012-03-30
20120331,140,60,2012-03-31
20120401,122,35,2012-04-01
20120402,105,60,2012-04-02
20120403,201,25,2012-04-03
20120404,198,47,2012-04-04
20120405,194,60,2012-04-05
20120406,236,66,2012-04-06
20120407,211,28,2012-04-07
20120408,254,117,2012-04-08
20120409,269,116,2012-04-09
20120410,233,161,2012-04-10
20120411,194,106,2012-04-11
20120412,263,117,2012-04-12
20120413,274,97,2012-04-13
20120414,298,113,2012-04-14
20120415,265,134,2012-04-15
20120416,216,96,2012-04-16
20120417,258,120,2012-04-17
20120418,227,167,2012-04-18
20120419,203,132,2012-04-19
20120420,161,120,2012-04-20
20120421,165,113,2012-04-21
20120422,218,113,2012-04-22
20120423,245,152,2012-04-23
20120424,206,133,2012-04-24
20120425,198,144,2012-04-25
20120426,243,76,2012-04-26
20120427,236,145,2012-04-27
20120428,202,120,2012-04-28
20120429,212,99,2012-04-29
20120430,237,115,2012-04-30
20120501,225,159,2012-05-01
20120502,303,138,2012-05-02
20120503,330,158,2012-05-03
20120504,330,170,2012-05-04
20120505,306,157,2012-05-05
20120506,289,153,2012-05-06
20120507,272,184,2012-05-07
20120508,315,147,2012-05-08
20120509,278,160,2012-05-09
