STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100327,121, , ,s,9999,16, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100328,163, , ,s,9999,-9, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100329,116, , ,s,9999,56, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100330,111, , ,s,9999,75, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100331,162, , ,s,9999,62, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100401,137, , ,s,9999,58, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100402,120, , ,s,9999,45, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100403,155, , ,s,9999,24, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100404,220, , ,s,9999,64, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100405,170, , ,s,9999,80, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100406,164, , ,s,9999,22, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100407,203, , ,s,9999,51, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100408,218, , ,s,9999,93, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100409,195, , ,s,9999,89, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100410,154, , ,s,9999,70, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100411,107, , ,s,9999,53, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100412,103, , ,s,9999,61, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100413,112, , ,s,9999,35, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100414,136, , ,s,9999,33, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100415,98, , ,s,9999,40, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100416,158, , ,s,9999,44, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100417,121, , ,s,9999,54, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100418,193, , ,s,9999,93, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100419,172, , ,s,9999,129, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100420,192, , ,s,9999,80, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100421,155, , ,s,9999,119, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100422,122, , ,s,9999,86, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100423,213, , ,s,9999,28, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100424,231, , ,s,9999,88, , ,s,9999
