"Year","Month","Day","pm2.5","Time"
2011,1,23,14.4166666666667,2011-01-23
2011,1,24,48.4583333333333,2011-01-24
2011,1,25,31.1666666666667,2011-01-25
2011,1,26,71.4583333333333,2011-01-26
2011,1,27,27.875,2011-01-27
2011,1,28,17,2011-01-28
2011,1,29,12.6666666666667,2011-01-29
2011,1,30,21.2083333333333,2011-01-30
2011,1,31,29.1666666666667,2011-01-31
2011,2,1,37.2083333333333,2011-02-01
2011,2,2,52.9166666666667,2011-02-02
2011,2,3,110.208333333333,2011-02-03
2011,2,4,120.458333333333,2011-02-04
2011,2,5,120.625,2011-02-05
2011,2,6,48.75,2011-02-06
2011,2,7,146.416666666667,2011-02-07
2011,2,8,93.2916666666667,2011-02-08
2011,2,9,124.666666666667,2011-02-09
2011,2,10,68.1666666666667,2011-02-10
2011,2,11,58.0416666666667,2011-02-11
2011,2,12,29.375,2011-02-12
2011,2,13,72,2011-02-13
2011,2,14,36.9166666666667,2011-02-14
2011,2,15,211.916666666667,2011-02-15
2011,2,16,267.166666666667,2011-02-16
2011,2,17,214.5,2011-02-17
2011,2,18,186.458333333333,2011-02-18
2011,2,19,190.25,2011-02-19
2011,2,20,359.416666666667,2011-02-20
2011,2,21,492.75,2011-02-21
2011,2,22,397.291666666667,2011-02-22
2011,2,23,417.458333333333,2011-02-23
2011,2,24,128.333333333333,2011-02-24
2011,2,25,70.375,2011-02-25
2011,2,26,79.7083333333333,2011-02-26
2011,2,27,54.375,2011-02-27
2011,2,28,19.0833333333333,2011-02-28
2011,3,1,23.375,2011-03-01
2011,3,2,25.5,2011-03-02
2011,3,3,17.125,2011-03-03
2011,3,4,60.4583333333333,2011-03-04
2011,3,5,96.375,2011-03-05
2011,3,6,14.1578947368421,2011-03-06
2011,3,7,19.3333333333333,2011-03-07
2011,3,8,16.695652173913,2011-03-08
2011,3,9,22.75,2011-03-09
2011,3,10,47.9583333333333,2011-03-10
2011,3,11,101.916666666667,2011-03-11
2011,3,12,280.375,2011-03-12
2011,3,13,159.75,2011-03-13
2011,3,14,15.0416666666667,2011-03-14
2011,3,15,16.0416666666667,2011-03-15
2011,3,16,42.0416666666667,2011-03-16
2011,3,17,113.35,2011-03-17
2011,3,21,20.5555555555556,2011-03-21
2011,3,22,17.9583333333333,2011-03-22
2011,3,23,21.2608695652174,2011-03-23
2011,3,24,10.375,2011-03-24
2011,3,25,22.2083333333333,2011-03-25
2011,3,26,61,2011-03-26
2011,3,27,23.6666666666667,2011-03-27
2011,3,28,46.75,2011-03-28
2011,3,29,80.0833333333333,2011-03-29
2011,3,30,103.1,2011-03-30
2011,3,31,225.222222222222,2011-03-31
2011,4,1,37.695652173913,2011-04-01
2011,4,2,62.5416666666667,2011-04-02
2011,4,3,131.6,2011-04-03
2011,4,4,129.375,2011-04-04
2011,4,5,210.75,2011-04-05
2011,4,6,133.666666666667,2011-04-06
2011,4,8,39.75,2011-04-08
2011,4,9,98.7692307692308,2011-04-09
2011,4,10,20.3478260869565,2011-04-10
2011,4,11,21.4583333333333,2011-04-11
2011,4,12,107.833333333333,2011-04-12
2011,4,13,166.791666666667,2011-04-13
2011,4,14,119.733333333333,2011-04-14
2011,4,15,28.4,2011-04-15
2011,4,16,91.6666666666667,2011-04-16
2011,4,17,60.304347826087,2011-04-17
2011,4,18,18.125,2011-04-18
2011,4,19,77.5833333333333,2011-04-19
2011,4,20,146.208333333333,2011-04-20
2011,4,21,125.769230769231,2011-04-21
2011,4,22,42.6666666666667,2011-04-22
2011,4,23,13.125,2011-04-23
2011,4,24,18.2608695652174,2011-04-24
2011,4,25,111.833333333333,2011-04-25
2011,4,26,75.2916666666667,2011-04-26
2011,4,27,43.7083333333333,2011-04-27
2011,4,28,85.2857142857143,2011-04-28
2011,4,29,167.411764705882,2011-04-29
2011,4,30,163.291666666667,2011-04-30
2011,5,1,62.75,2011-05-01
2011,5,2,23.1666666666667,2011-05-02
2011,5,3,22.625,2011-05-03
2011,5,4,67.5,2011-05-04
2011,5,5,109.291666666667,2011-05-05
2011,5,6,50.4166666666667,2011-05-06
2011,5,7,33.8695652173913,2011-05-07
2011,5,8,60.7916666666667,2011-05-08
2011,5,9,49.7916666666667,2011-05-09
2011,5,10,35.6666666666667,2011-05-10
2011,5,11,103.333333333333,2011-05-11
2011,5,12,41.5416666666667,2011-05-12
2011,5,13,32.4583333333333,2011-05-13
2011,5,14,30.7916666666667,2011-05-14
2011,5,15,40.0416666666667,2011-05-15
2011,5,16,51.875,2011-05-16
2011,5,17,155.166666666667,2011-05-17
2011,5,18,173.458333333333,2011-05-18
2011,5,19,13.5833333333333,2011-05-19
2011,5,20,33,2011-05-20
2011,5,21,42.375,2011-05-21
2011,5,22,66.5833333333333,2011-05-22
